,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album_name,release_date,album_id
0,0.707,0.795,2,-5.452,1,0.0478,0.00945,9.61e-06,0.0678,0.244,96.996,audio_features,5ikFGOKtCdl9YC2xJh9hho,spotify:track:5ikFGOKtCdl9YC2xJh9hho,https://api.spotify.com/v1/tracks/5ikFGOKtCdl9YC2xJh9hho,https://api.spotify.com/v1/audio-analysis/5ikFGOKtCdl9YC2xJh9hho,225430,4,Yo,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
1,0.481,0.723,1,-6.148,1,0.139,0.00608,0.0,0.103,0.778,126.864,audio_features,2AjJOaMegLG5U7CkDzs4Wx,spotify:track:2AjJOaMegLG5U7CkDzs4Wx,https://api.spotify.com/v1/tracks/2AjJOaMegLG5U7CkDzs4Wx,https://api.spotify.com/v1/audio-analysis/2AjJOaMegLG5U7CkDzs4Wx,219283,4,İllallah,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
2,0.778,0.865,9,-5.233,0,0.188,0.0587,0.0,0.809,0.631,95.061,audio_features,7p5nZwHTujgtzJW90dr2aV,spotify:track:7p5nZwHTujgtzJW90dr2aV,https://api.spotify.com/v1/tracks/7p5nZwHTujgtzJW90dr2aV,https://api.spotify.com/v1/audio-analysis/7p5nZwHTujgtzJW90dr2aV,178318,4,Olay,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
3,0.66,0.854,1,-4.397,0,0.0562,0.153,0.0,0.377,0.553,99.915,audio_features,0tUu5krJnjTs3ebdeHP3uL,spotify:track:0tUu5krJnjTs3ebdeHP3uL,https://api.spotify.com/v1/tracks/0tUu5krJnjTs3ebdeHP3uL,https://api.spotify.com/v1/audio-analysis/0tUu5krJnjTs3ebdeHP3uL,194927,4,Şerbetli,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
4,0.699,0.703,2,-5.412,1,0.0376,0.00325,0.000785,0.203,0.721,96.014,audio_features,611rMkMHYTBQ2dYoUubI72,spotify:track:611rMkMHYTBQ2dYoUubI72,https://api.spotify.com/v1/tracks/611rMkMHYTBQ2dYoUubI72,https://api.spotify.com/v1/audio-analysis/611rMkMHYTBQ2dYoUubI72,213974,4,Müteşekkir,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
5,0.694,0.783,0,-4.873,0,0.046,0.182,1.93e-06,0.302,0.76,89.997,audio_features,7gZPZBBz0QIWmL9SzXVDr2,spotify:track:7gZPZBBz0QIWmL9SzXVDr2,https://api.spotify.com/v1/tracks/7gZPZBBz0QIWmL9SzXVDr2,https://api.spotify.com/v1/audio-analysis/7gZPZBBz0QIWmL9SzXVDr2,230941,4,Darmaduman,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
6,0.812,0.721,1,-6.308,1,0.0723,0.0451,4.98e-06,0.0649,0.834,127.997,audio_features,7fuxikcGdQvTkEhpqMszEl,spotify:track:7fuxikcGdQvTkEhpqMszEl,https://api.spotify.com/v1/tracks/7fuxikcGdQvTkEhpqMszEl,https://api.spotify.com/v1/audio-analysis/7fuxikcGdQvTkEhpqMszEl,167243,4,Ayrılık Töreni,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
7,0.736,0.861,7,-5.741,0,0.0408,0.1,0.0,0.177,0.712,91.995,audio_features,4MVAUrmcOYan8fLq3s4lJo,spotify:track:4MVAUrmcOYan8fLq3s4lJo,https://api.spotify.com/v1/tracks/4MVAUrmcOYan8fLq3s4lJo,https://api.spotify.com/v1/audio-analysis/4MVAUrmcOYan8fLq3s4lJo,203957,4,Kalpte Savaş,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
8,0.5,0.615,11,-7.766,0,0.0353,0.452,0.0,0.219,0.21,114.893,audio_features,5HyYef5m9Wc5whKWotxIFY,spotify:track:5HyYef5m9Wc5whKWotxIFY,https://api.spotify.com/v1/tracks/5HyYef5m9Wc5whKWotxIFY,https://api.spotify.com/v1/audio-analysis/5HyYef5m9Wc5whKWotxIFY,290164,4,Çınar,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
9,0.542,0.823,1,-5.97,0,0.129,0.114,3.63e-06,0.196,0.838,180.009,audio_features,4IlGlHi6WEpzcn3FckNs3u,spotify:track:4IlGlHi6WEpzcn3FckNs3u,https://api.spotify.com/v1/tracks/4IlGlHi6WEpzcn3FckNs3u,https://api.spotify.com/v1/audio-analysis/4IlGlHi6WEpzcn3FckNs3u,196337,4,Enseyi Karartma,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
10,0.674,0.587,10,-5.987,0,0.0721,0.0343,3.74e-06,0.235,0.543,130.022,audio_features,4QlGKfjA4QruOMslIhGrHU,spotify:track:4QlGKfjA4QruOMslIhGrHU,https://api.spotify.com/v1/tracks/4QlGKfjA4QruOMslIhGrHU,https://api.spotify.com/v1/audio-analysis/4QlGKfjA4QruOMslIhGrHU,200948,4,Sorma Gitsin,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
11,0.436,0.667,4,-6.345,0,0.0665,0.0338,7.94e-06,0.357,0.42,79.113,audio_features,4FvwMVB5UiIarlwnr5lACm,spotify:track:4FvwMVB5UiIarlwnr5lACm,https://api.spotify.com/v1/tracks/4FvwMVB5UiIarlwnr5lACm,https://api.spotify.com/v1/audio-analysis/4FvwMVB5UiIarlwnr5lACm,225588,4,Vatanımsın,Kuantum 51,2024-06-14,7jra0F6rSOJ36HIsTmwFfC
12,0.676,0.913,7,-5.251,1,0.0538,0.00422,2.24e-06,0.0752,0.658,120.002,audio_features,116Gt4SVIeGy1pDoWnKhNv,spotify:track:116Gt4SVIeGy1pDoWnKhNv,https://api.spotify.com/v1/tracks/116Gt4SVIeGy1pDoWnKhNv,https://api.spotify.com/v1/audio-analysis/116Gt4SVIeGy1pDoWnKhNv,285857,4,Yolla,10,2017-06-15,6Mwibfl7sYZCgVr3vmligb
13,0.685,0.838,10,-4.432,0,0.0349,0.000935,3.39e-06,0.226,0.305,102.012,audio_features,24r6X1UwmoFzH6PJ2sBWjz,spotify:track:24r6X1UwmoFzH6PJ2sBWjz,https://api.spotify.com/v1/tracks/24r6X1UwmoFzH6PJ2sBWjz,https://api.spotify.com/v1/audio-analysis/24r6X1UwmoFzH6PJ2sBWjz,252797,4,Çay Simit,10,2017-06-15,6Mwibfl7sYZCgVr3vmligb
14,0.648,0.556,10,-7.474,0,0.0322,0.157,0.0,0.178,0.395,118.011,audio_features,5LGjqcA3cQ4pDU61bsWeKv,spotify:track:5LGjqcA3cQ4pDU61bsWeKv,https://api.spotify.com/v1/tracks/5LGjqcA3cQ4pDU61bsWeKv,https://api.spotify.com/v1/audio-analysis/5LGjqcA3cQ4pDU61bsWeKv,257219,3,Beni Çok Sev,10,2017-06-15,6Mwibfl7sYZCgVr3vmligb
15,0.724,0.754,5,-4.824,0,0.0658,0.000496,0.0,0.114,0.728,140.049,audio_features,6C1bVEAGItpajD7G20TP7V,spotify:track:6C1bVEAGItpajD7G20TP7V,https://api.spotify.com/v1/tracks/6C1bVEAGItpajD7G20TP7V,https://api.spotify.com/v1/audio-analysis/6C1bVEAGItpajD7G20TP7V,231620,4,Ben Senin,10,2017-06-15,6Mwibfl7sYZCgVr3vmligb
16,0.743,0.871,4,-6.087,0,0.0617,0.000986,0.012,0.177,0.57,121.988,audio_features,6ebbA9Sh6eOunW7H7iMjIs,spotify:track:6ebbA9Sh6eOunW7H7iMjIs,https://api.spotify.com/v1/tracks/6ebbA9Sh6eOunW7H7iMjIs,https://api.spotify.com/v1/audio-analysis/6ebbA9Sh6eOunW7H7iMjIs,273307,4,Çok Ağladım,10,2017-06-15,6Mwibfl7sYZCgVr3vmligb
17,0.707,0.641,7,-6.605,0,0.0315,0.0391,1.42e-06,0.143,0.343,110.016,audio_features,5Duwgj7S9FKU20sagj0OYz,spotify:track:5Duwgj7S9FKU20sagj0OYz,https://api.spotify.com/v1/tracks/5Duwgj7S9FKU20sagj0OYz,https://api.spotify.com/v1/audio-analysis/5Duwgj7S9FKU20sagj0OYz,337996,4,Her Şey Fani,10,2017-06-15,6Mwibfl7sYZCgVr3vmligb
